method,path,line,source
PUT,/accountType,258132,url_config
DELETE,/accountType/codeInfo,239862,url_config
POST,/ach/bankAccount/customer/{param},254711,url_config
POST,/ach/bankAccount/customer/{param}/list,254704,url_config
DELETE,/ach/bankAccount/customer/{param}/uuid/{param},254731,url_config
GET,/ach/batch/payout/list,254753,url_config
GET,/ach/batch/payout/{param},254765,url_config
PUT,/adjustment,50285,url_config
PUT,/adjustment/list,50278,url_config
DELETE,/adjustment/{param},50295,url_config
WS,/api/ws-app,3065,websocket
DELETE,/attachment,255032,url_config
GET,/attachment,255011,url_config
POST,/attachment,12021,url_config
PUT,/attachment,254977,url_config
POST,/attachment/fieldId/450/recordId/{param}/moduleId/1,12015,url_config
GET,/attachment/fieldId/{param}/recordId/{param}/moduleId/{param},254944,url_config
DELETE,/attachment?id={param}&productId={param},12009,url_config
GET,/audit?recordId={param}&moduleId={param}&parentModuleId={param}&storeIds={param},41278,url_config
GET,/audit?recordId={param}&moduleId={param}&storeIds={param},41475,url_config
POST,/authenticate,436,url_config
POST,/authenticate/onBehalfOfCustomer/{param},62355,direct_call
POST,/authoriseDotNet/customerProfile?customerId={param},256325,url_config
POST,/authoriseDotNet/paymentProfile,256332,url_config
DELETE,/authoriseDotNet/paymentProfile?customerProfileId={param}&customerPaymentProfileId={param},256342,url_config
GET,/balanceSheet?storeIds={param},11116,url_config
DELETE,/bill/dueBills/vendorId/{param}?storeIds={param},238829,url_config
GET,/bill/negativeBalance/vendorId/{param}?storeIds={param},238915,url_config
PUT,/bill/payment/bulk,238873,url_config
PUT,/bill/payment/id/{param}?storeIds={param},238867,url_config
DELETE,/bill/payment/{param}/voidPayment,50155,url_config
GET,/brainTree/clientTokenForErp?orderId={param},63185,direct_call
GET,/brand/list,42927,url_config
GET,/brand/list?size=99999,236218,url_config
POST,/category,244810,url_config
PUT,/category,244824,url_config
GET,/category/all,236210,url_config
POST,/category/bulk/export,41638,url_config
GET,/category/bulk/list?storeIds={param},41657,url_config
PUT,/category/bulk/update,41663,direct_call
PUT,/category/list,244856,url_config
PUT,/category/multiple,244837,url_config
PUT,/category/product/sequenceNumber,244882,url_config
DELETE,/category/{param},244843,url_config
PUT,/category/{param}/product/{param}/sequenceNumber,244891,url_config
DELETE,/chartOfAccount,239851,url_config
POST,/chartOfAccount,239774,url_config
PUT,/chartOfAccount,239784,url_config
GET,/chartOfAccount/byTypes,239733,url_config
DELETE,/chartOfAccount/journal,239840,url_config
PUT,/chartOfAccount/journal,239830,url_config
GET,/chartOfAccount/journal/list,239815,url_config
PUT,/chartOfAccount/journal/{param},239823,url_config
PUT,/chartOfAccount/list,239794,url_config
PUT,/chartOfAccount/reconcile,239755,url_config
GET,/chartOfAccount/summary,239723,url_config
PUT,/chartOfAccount/transfer,239805,url_config
POST,/chartOfAccount/{param},239766,url_config
PUT,/chartOfAccount/{param}/summary,239746,url_config
POST,/city,242998,url_config
GET,/city/search,236165,url_config
GET,/city/stateId/{param},236183,url_config
GET,/country/all,236151,url_config
GET,/country/{param}/allState,236159,url_config
POST,/county,243067,url_config
GET,/county/search,236174,url_config
GET,/county/stateId/{param},236191,url_config
PUT,/crmCustomerNotes,238534,url_config
DELETE,/crmCustomerNotes/list,238524,url_config
DELETE,/crmCustomerNotes?id={param},238544,url_config
POST,/customer,238307,url_config
PUT,/customer,238313,url_config
GET,/customer-tiers,47529,url_config
POST,/customer-tiers,47522,direct_call
DELETE,/customer-tiers/{param},47547,url_config
PATCH,/customer-tiers/{param},47552,direct_call
GET,/customer/accountSummary,249845,url_config
DELETE,/customer/address,238326,url_config
PUT,/customer/bulk,238292,url_config
PUT,/customer/list?storeIds={param},238284,url_config
PUT,/customer/password,238388,url_config
GET,/customer/paymentDetails?storeIds={param},66835,url_config
GET,/customer/paymentDetails?storeIds={param}&parentPaymentId={param}&page=0&size=9999,66796,url_config
